visitor_id,visit_date,group,device,traffic_channel,session_minutes,pages_viewed,converted,revenue_usd
VIS-00146,2026-05-13,A,Mobile,Social,4.84,2,0,0.0
VIS-00147,2026-05-22,A,Mobile,Organic,4.39,1,0,0.0
VIS-00148,2026-05-14,A,Mobile,Email,1.27,3,0,0.0
VIS-00149,2026-05-16,A,Desktop,Social,7.92,7,0,0.0
VIS-00150,2026-05-10,A,Mobile,Organic,6.34,2,0,0.0
VIS-00151,2026-05-27,A,Desktop,Organic,3.72,4,0,0.0
VIS-00152,2026-05-02,A,Desktop,Organic,6.01,4,0,0.0
VIS-00153,2026-05-03,A,Desktop,Organic,2.53,3,0,0.0
VIS-00154,2026-05-11,A,Desktop,Social,4.43,6,0,0.0
VIS-00155,2026-05-22,A,Desktop,Organic,2.83,6,0,0.0
VIS-00156,2026-05-25,A,Desktop,Paid Search,6.55,5,0,0.0
VIS-00157,2026-05-18,A,Mobile,Organic,5.81,6,0,0.0
VIS-00158,2026-05-25,A,Desktop,Email,3.39,5,0,0.0
VIS-00159,2026-05-21,A,Desktop,Organic,4.98,9,1,61.2
VIS-00160,2026-05-03,A,Desktop,Email,3.7,2,0,0.0
VIS-00161,2026-05-19,A,Mobile,Social,0.72,7,1,32.01
VIS-00162,2026-05-17,A,Desktop,Referral,8.57,5,1,70.55
VIS-00163,2026-05-22,A,Mobile,Email,5.55,5,0,0.0
VIS-00164,2026-05-11,A,Desktop,Organic,1.98,4,0,0.0
VIS-00165,2026-05-10,A,Desktop,Organic,5.62,3,0,0.0
VIS-00166,2026-05-12,A,Mobile,Paid Search,4.7,6,0,0.0
VIS-00167,2026-05-10,A,Mobile,Referral,4.18,3,1,73.65
VIS-00168,2026-05-30,A,Mobile,Social,4.96,3,0,0.0
VIS-00169,2026-05-03,A,Mobile,Paid Search,6.73,2,0,0.0
VIS-00170,2026-05-25,A,Desktop,Social,2.33,2,0,0.0
VIS-00171,2026-05-15,A,Desktop,Email,4.78,7,0,0.0
VIS-00172,2026-05-16,A,Mobile,Email,9.97,6,0,0.0
VIS-00173,2026-05-01,A,Desktop,Paid Search,3.17,3,0,0.0
VIS-00174,2026-05-16,A,Mobile,Paid Search,3.76,5,0,0.0
VIS-00175,2026-05-26,A,Desktop,Referral,7.15,4,0,0.0
VIS-00176,2026-05-28,A,Desktop,Paid Search,1.95,5,1,56.03
VIS-00177,2026-05-13,A,Desktop,Email,7.77,5,0,0.0
VIS-00178,2026-05-12,A,Tablet,Social,4.45,3,0,0.0
VIS-00179,2026-05-27,A,Mobile,Paid Search,1.97,8,0,0.0
VIS-00180,2026-05-24,A,Mobile,Referral,5.17,6,0,0.0
VIS-00181,2026-05-29,A,Mobile,Organic,4.1,2,0,0.0
VIS-00182,2026-05-22,A,Tablet,Organic,4.03,4,0,0.0
VIS-00183,2026-05-30,A,Desktop,Email,6.92,3,0,0.0
VIS-00184,2026-05-23,A,Desktop,Email,4.02,4,0,0.0
VIS-00185,2026-05-04,A,Mobile,Organic,5.22,7,0,0.0
VIS-00186,2026-05-14,A,Mobile,Paid Search,3.93,4,0,0.0
VIS-00187,2026-05-13,A,Mobile,Organic,9.71,4,0,0.0
VIS-00188,2026-05-21,A,Desktop,Referral,5.9,6,1,64.92
VIS-00189,2026-05-14,A,Mobile,Organic,1.57,3,0,0.0
VIS-00190,2026-05-26,A,Mobile,Social,1.49,2,0,0.0
VIS-00191,2026-05-03,A,Mobile,Organic,3.09,5,0,0.0
VIS-00192,2026-05-09,A,Mobile,Referral,4.12,3,0,0.0
VIS-00193,2026-05-25,A,Tablet,Paid Search,3.92,5,0,0.0
VIS-00194,2026-05-23,A,Desktop,Organic,4.64,4,1,66.29
VIS-00195,2026-05-23,A,Desktop,Paid Search,4.6,6,0,0.0
VIS-00196,2026-05-15,A,Desktop,Paid Search,5.2,2,0,0.0
VIS-00197,2026-05-01,A,Mobile,Organic,13.02,6,0,0.0
VIS-00198,2026-05-17,A,Desktop,Email,5.13,4,0,0.0
VIS-00199,2026-05-01,A,Mobile,Paid Search,5.21,1,0,0.0
VIS-00200,2026-05-14,A,Desktop,Organic,6.01,2,0,0.0
VIS-00201,2026-05-11,A,Mobile,Organic,4.34,4,0,0.0
VIS-00202,2026-05-12,A,Mobile,Paid Search,3.35,2,0,0.0
VIS-00203,2026-05-07,A,Mobile,Organic,3.55,7,0,0.0
VIS-00204,2026-05-23,A,Mobile,Paid Search,1.93,4,0,0.0
VIS-00205,2026-05-14,A,Tablet,Organic,7.01,8,0,0.0
VIS-00206,2026-05-12,A,Mobile,Social,1.27,2,0,0.0
VIS-00207,2026-05-28,A,Desktop,Email,2.8,5,0,0.0
VIS-00208,2026-05-06,A,Mobile,Referral,2.49,1,0,0.0
VIS-00209,2026-05-16,A,Desktop,Social,0.48,4,1,54.62
VIS-00210,2026-05-24,A,Desktop,Paid Search,5.63,7,0,0.0
VIS-00211,2026-05-17,A,Desktop,Organic,5.45,4,1,79.77
VIS-00212,2026-05-12,A,Tablet,Organic,3.99,3,0,0.0
VIS-00213,2026-05-14,A,Mobile,Organic,6.86,2,0,0.0
VIS-00214,2026-05-18,A,Desktop,Paid Search,7.34,4,0,0.0
VIS-00215,2026-05-25,A,Mobile,Organic,4.14,3,0,0.0
VIS-00216,2026-05-30,A,Desktop,Referral,1.24,2,1,65.95
VIS-00217,2026-05-23,A,Mobile,Social,2.75,4,0,0.0
VIS-00218,2026-05-20,A,Mobile,Paid Search,1.43,3,1,30.06
VIS-00219,2026-05-04,A,Mobile,Organic,2.29,4,0,0.0
VIS-00220,2026-05-16,A,Desktop,Organic,5.45,2,1,63.97
VIS-00221,2026-05-02,A,Mobile,Paid Search,2.73,4,0,0.0
VIS-00222,2026-05-09,A,Desktop,Social,2.05,5,0,0.0
VIS-00223,2026-05-13,A,Desktop,Referral,0.95,6,0,0.0
VIS-00224,2026-05-22,A,Desktop,Email,2.86,3,0,0.0
VIS-00225,2026-05-19,A,Desktop,Paid Search,2.76,3,0,0.0
VIS-00226,2026-05-29,A,Mobile,Organic,7.56,5,1,65.44
VIS-00227,2026-05-15,A,Mobile,Paid Search,1.17,1,0,0.0
VIS-00228,2026-05-22,A,Mobile,Organic,2.26,9,0,0.0
VIS-00229,2026-05-16,A,Desktop,Paid Search,2.26,6,1,90.69
VIS-00230,2026-05-24,A,Tablet,Organic,4.87,2,0,0.0
VIS-00231,2026-05-23,A,Mobile,Organic,4.76,1,0,0.0
VIS-00232,2026-05-10,A,Tablet,Email,3.28,5,0,0.0
VIS-00233,2026-05-11,A,Desktop,Paid Search,2.38,5,0,0.0
VIS-00234,2026-05-10,A,Desktop,Email,5.88,4,0,0.0
VIS-00235,2026-05-19,A,Desktop,Paid Search,1.69,5,0,0.0
VIS-00236,2026-05-11,A,Mobile,Organic,6.42,4,0,0.0
VIS-00237,2026-05-28,A,Mobile,Paid Search,6.49,3,0,0.0
VIS-00238,2026-05-15,A,Desktop,Paid Search,4.81,6,0,0.0
VIS-00239,2026-05-23,A,Tablet,Social,3.46,2,0,0.0
VIS-00240,2026-05-27,A,Mobile,Paid Search,5.08,7,0,0.0
VIS-00241,2026-05-17,A,Desktop,Social,0.42,1,0,0.0
VIS-00242,2026-05-14,A,Mobile,Paid Search,3.13,6,0,0.0
VIS-00243,2026-05-26,A,Desktop,Social,6.18,5,1,29.09
VIS-00244,2026-05-06,A,Desktop,Social,16.77,3,0,0.0
VIS-00245,2026-05-29,A,Desktop,Organic,3.35,6,0,0.0
VIS-00246,2026-05-16,A,Desktop,Organic,5.06,4,0,0.0
VIS-00247,2026-05-28,A,Desktop,Social,9.67,4,0,0.0
VIS-00248,2026-05-08,A,Mobile,Paid Search,7.23,6,0,0.0
VIS-00249,2026-05-28,A,Desktop,Organic,2.72,4,0,0.0
VIS-00250,2026-05-20,A,Desktop,Email,2.02,4,1,55.69
VIS-00251,2026-05-01,A,Desktop,Organic,5.2,4,0,0.0
VIS-00252,2026-05-11,A,Desktop,Organic,10.93,1,0,0.0
VIS-00253,2026-05-29,A,Mobile,Paid Search,10.52,1,0,0.0
VIS-00254,2026-05-29,A,Desktop,Social,3.88,4,0,0.0
VIS-00255,2026-05-19,A,Mobile,Social,4.13,5,0,0.0
VIS-00256,2026-05-14,A,Mobile,Organic,6.51,4,0,0.0
VIS-00257,2026-05-17,A,Mobile,Organic,3.99,4,0,0.0
VIS-00258,2026-05-18,A,Desktop,Organic,5.9,7,0,0.0
VIS-00259,2026-05-01,A,Mobile,Social,5.64,8,0,0.0
VIS-00260,2026-05-18,A,Desktop,Social,0.71,3,0,0.0
VIS-00261,2026-05-06,A,Tablet,Organic,5.23,4,0,0.0
VIS-00262,2026-05-13,A,Desktop,Organic,7.44,6,0,0.0
VIS-00263,2026-05-14,A,Desktop,Paid Search,8.68,5,0,0.0
VIS-00264,2026-05-30,A,Desktop,Social,0.37,3,0,0.0
VIS-00265,2026-05-29,A,Mobile,Paid Search,1.35,7,0,0.0
VIS-00266,2026-05-02,A,Desktop,Email,3.95,5,0,0.0
VIS-00267,2026-05-13,A,Desktop,Organic,4.66,2,0,0.0
VIS-00268,2026-05-23,A,Mobile,Referral,1.09,5,0,0.0
VIS-00269,2026-05-26,A,Mobile,Email,9.67,3,0,0.0
VIS-00270,2026-05-08,A,Desktop,Social,0.59,5,0,0.0
VIS-00271,2026-05-13,A,Mobile,Organic,6.34,4,0,0.0
VIS-00272,2026-05-02,A,Mobile,Social,1.29,2,0,0.0
VIS-00273,2026-05-03,A,Desktop,Organic,3.57,3,0,0.0
VIS-00274,2026-05-06,A,Desktop,Email,1.73,4,0,0.0
VIS-00275,2026-05-05,A,Mobile,Organic,3.69,4,0,0.0
VIS-00276,2026-05-23,A,Desktop,Social,6.79,2,0,0.0
VIS-00277,2026-05-12,A,Desktop,Social,6.77,5,0,0.0
VIS-00278,2026-05-28,A,Desktop,Social,4.04,5,0,0.0
VIS-00279,2026-05-06,A,Desktop,Paid Search,4.93,5,0,0.0
VIS-00280,2026-05-24,A,Tablet,Social,8.14,3,1,27.69
VIS-00281,2026-05-11,A,Mobile,Social,0.81,7,0,0.0
VIS-00282,2026-05-09,A,Mobile,Email,3.16,5,0,0.0
VIS-00283,2026-05-09,A,Tablet,Organic,9.43,2,0,0.0
VIS-00284,2026-05-15,A,Desktop,Social,4.81,4,0,0.0
VIS-00285,2026-05-27,A,Mobile,Referral,4.57,4,0,0.0
VIS-00286,2026-05-04,A,Mobile,Organic,6.67,3,0,0.0
VIS-00287,2026-05-18,A,Desktop,Organic,0.32,2,0,0.0
VIS-00288,2026-05-13,A,Desktop,Organic,4.08,2,0,0.0
VIS-00289,2026-05-19,A,Desktop,Organic,5.42,2,0,0.0
VIS-00290,2026-05-08,A,Desktop,Paid Search,11.39,4,0,0.0
VIS-00291,2026-05-09,A,Mobile,Email,3.52,2,0,0.0
VIS-00292,2026-05-01,A,Desktop,Referral,1.58,4,0,0.0
VIS-00293,2026-05-30,A,Mobile,Paid Search,1.9,1,0,0.0
VIS-00294,2026-05-09,A,Desktop,Social,1.95,5,0,0.0
VIS-00295,2026-05-05,A,Mobile,Organic,2.71,3,0,0.0
VIS-00296,2026-05-28,A,Desktop,Organic,8.68,7,0,0.0
VIS-00297,2026-05-16,A,Mobile,Social,5.1,5,1,51.24
VIS-00298,2026-05-16,A,Desktop,Referral,4.47,6,0,0.0
VIS-00299,2026-05-17,A,Mobile,Social,5.33,1,1,60.16
VIS-00300,2026-05-09,A,Desktop,Organic,10.09,6,0,0.0
VIS-00301,2026-05-02,A,Desktop,Organic,4.49,5,1,63.34
VIS-00302,2026-05-04,A,Desktop,Referral,3.25,6,0,0.0
VIS-00303,2026-05-29,A,Desktop,Paid Search,3.91,5,1,62.03
VIS-00304,2026-05-27,A,Mobile,Organic,2.07,4,0,0.0
VIS-00305,2026-05-24,A,Mobile,Social,1.15,7,0,0.0
VIS-00306,2026-05-03,A,Desktop,Organic,1.87,5,0,0.0
VIS-00307,2026-05-18,A,Desktop,Referral,3.98,4,0,0.0
VIS-00308,2026-05-02,A,Mobile,Email,3.94,6,1,56.81
VIS-00309,2026-05-07,A,Desktop,Organic,11.0,6,1,54.99
VIS-00310,2026-05-04,A,Desktop,Organic,2.13,3,1,56.98
VIS-00311,2026-05-28,A,Mobile,Social,5.17,8,0,0.0
VIS-00312,2026-05-23,A,Desktop,Social,4.21,6,0,0.0
VIS-00313,2026-05-23,A,Tablet,Paid Search,2.29,1,0,0.0
VIS-00314,2026-05-29,A,Desktop,Email,12.56,6,0,0.0
VIS-00315,2026-05-19,A,Mobile,Paid Search,7.69,3,0,0.0
VIS-00316,2026-05-03,A,Mobile,Email,1.55,3,0,0.0
VIS-00317,2026-05-04,A,Tablet,Social,2.2,5,0,0.0
VIS-00318,2026-05-20,A,Mobile,Paid Search,2.81,6,0,0.0
VIS-00319,2026-05-11,A,Mobile,Organic,3.51,4,1,60.12
VIS-00320,2026-05-20,A,Desktop,Paid Search,5.63,3,0,0.0
VIS-00321,2026-05-10,A,Mobile,Paid Search,1.69,3,0,0.0
VIS-00322,2026-05-16,A,Desktop,Email,4.19,4,0,0.0
VIS-00323,2026-05-26,A,Desktop,Social,5.08,4,0,0.0
VIS-00324,2026-05-01,A,Mobile,Social,3.69,9,0,0.0
VIS-00325,2026-05-17,A,Desktop,Organic,2.63,2,1,38.18
VIS-00326,2026-05-21,A,Mobile,Organic,5.03,5,0,0.0
VIS-00327,2026-05-09,A,Desktop,Email,6.14,1,0,0.0
VIS-00328,2026-05-13,A,Mobile,Paid Search,8.26,5,0,0.0
VIS-00329,2026-05-24,A,Desktop,Paid Search,7.01,4,0,0.0
VIS-00330,2026-05-28,A,Tablet,Email,5.09,7,0,0.0
VIS-00331,2026-05-18,A,Mobile,Organic,2.04,1,0,0.0
VIS-00332,2026-05-30,A,Desktop,Organic,1.62,6,0,0.0
VIS-00333,2026-05-09,A,Desktop,Paid Search,4.68,6,0,0.0
VIS-00334,2026-05-20,A,Desktop,Social,2.16,5,0,0.0
VIS-00335,2026-05-13,A,Mobile,Organic,4.63,4,0,0.0
VIS-00336,2026-05-04,A,Desktop,Email,1.21,2,0,0.0
VIS-00337,2026-05-21,A,Desktop,Organic,3.33,5,0,0.0
VIS-00338,2026-05-10,A,Desktop,Email,2.67,3,0,0.0
VIS-00339,2026-05-17,A,Mobile,Email,7.32,2,0,0.0
VIS-00340,2026-05-19,A,Desktop,Paid Search,5.86,7,0,0.0
VIS-00341,2026-05-18,A,Mobile,Paid Search,5.58,5,1,74.77
VIS-00342,2026-05-27,A,Desktop,Paid Search,12.71,4,0,0.0
VIS-00343,2026-05-28,A,Desktop,Paid Search,2.17,1,0,0.0
VIS-00344,2026-05-13,A,Mobile,Social,1.85,2,0,0.0
VIS-00345,2026-05-04,A,Desktop,Social,1.0,4,0,0.0
VIS-00346,2026-05-11,A,Desktop,Email,0.82,5,1,57.62
VIS-00347,2026-05-14,A,Tablet,Organic,16.31,3,0,0.0
VIS-00348,2026-05-19,A,Desktop,Organic,0.49,6,0,0.0
VIS-00349,2026-05-16,A,Mobile,Organic,8.38,2,0,0.0
VIS-00350,2026-05-26,A,Mobile,Organic,1.58,1,0,0.0
VIS-00351,2026-05-26,A,Desktop,Organic,4.37,4,0,0.0
VIS-00352,2026-05-06,A,Desktop,Referral,1.73,6,0,0.0
VIS-00353,2026-05-11,A,Desktop,Organic,10.77,5,0,0.0
VIS-00354,2026-05-18,A,Desktop,Referral,2.44,6,0,0.0
VIS-00355,2026-05-15,A,Desktop,Paid Search,3.34,1,0,0.0
VIS-00356,2026-05-19,A,Desktop,Paid Search,2.17,2,0,0.0
VIS-00357,2026-05-30,A,Mobile,Social,5.4,3,0,0.0
VIS-00358,2026-05-15,A,Mobile,Social,6.84,5,0,0.0
VIS-00359,2026-05-27,A,Mobile,Organic,11.87,4,0,0.0
VIS-00360,2026-05-11,A,Desktop,Email,1.5,5,0,0.0
VIS-00361,2026-05-20,A,Mobile,Social,6.71,4,0,0.0
VIS-00362,2026-05-29,A,Mobile,Organic,9.88,2,0,0.0
VIS-00363,2026-05-24,A,Desktop,Email,1.36,3,1,41.52
VIS-00364,2026-05-25,A,Mobile,Paid Search,2.39,3,0,0.0
VIS-00365,2026-05-08,A,Mobile,Social,2.86,2,0,0.0
VIS-00366,2026-05-05,A,Mobile,Social,5.47,4,0,0.0
VIS-00367,2026-05-15,A,Desktop,Organic,1.75,4,0,0.0
VIS-00368,2026-05-01,A,Mobile,Organic,2.75,6,0,0.0
VIS-00369,2026-05-23,A,Desktop,Social,1.93,5,0,0.0
VIS-00370,2026-05-08,A,Mobile,Referral,4.72,3,0,0.0
VIS-00371,2026-05-10,A,Desktop,Email,4.61,4,0,0.0
VIS-00372,2026-05-13,A,Mobile,Email,9.35,5,0,0.0
VIS-00373,2026-05-12,A,Mobile,Organic,1.14,2,0,0.0
VIS-00374,2026-05-05,A,Mobile,Organic,2.87,4,1,44.8
